id,subtitle
00001,Framing works for the Sunstroke exhibition. 
00002,Amazed by the work of the local artist Barbara Banida.
00003,Seeing some original Dalí ilustrations at the Unifor archive.
00004,Visiting Pinacoteca do Ceará.
00005,Visitng the most famous Baoba in Fortaleza.
00006,Just an amazing scene while visiting Cidade Ecológica.
00007,Sharing our work with the Department of Umbrologia.
00008,Searching for a local light supplier for the Sunstroke exhibition.
00009,Clay workshop with the amazing Julio Jardim.
00010,"Another person at the pole shadow of Ms. Liduina, at Cidade Ecológica."
00011,We found the sun at Cidade Ecológica.
00012,First time at Cidade Ecológica.
00013,Visit at Servulo Esmeraldo Institute in Fortaleza.
00014,Working table while in Fortaleza.
00015,First website wireframe.
00016,Studio tests for the exhibition Sunstroke. 
00017,"Cyberspace, Cityscape, color and materials tests. "
00018,Ayoung Kim artificial sundial installation in NY.
00019,Screenshoot reference from Learning Session. 
00020,Sundial painting process. 
00021,Ceramic tests.
00022,First design for the videogame.
00023,"From my desk, some project visual references. "
00024,Sundial painting color tests. 
00025,Getting to know Bubbledeck construction method in Fortaleza.
00026,Sundial grid tests.
00027,Game style test with low poly trees.
00028,Transforming the hadnmade cobogó into an architectural drawing.
00029,First tree map for the videogame.
00030,Analyzing shadow shades in Fortaleza maps.
00031,First map color scheme by Patricia Pessoa. 
00032,First game storyboard.
00033,First game style frame reference.
00034,Game reference.
00035,"Avenida Paisagística, at the end of Cidade Ecológica, by Google Street View."
00036,Shadow structures in Doha.
00037,Clay cobogós.
00038,Building cobogós.
00039,Building cobogós.
00040,Testing Fortaleza bus stops as contelations. 
00041,Amazing Carnauba image reference.
00042,Identifying shadows in Fortaleza.
00043,Visitng an ecological brick factory in Fortaleza.
00044,Understanding how an ecological brick is molded. 
00045,Amazed by Chico da Silva work. 
00046,Tests on identifying shadows in Google Street images.
00047,Sundial painting first sketches. 
00048,Cobogós first sketches.
00049,Testing this website.
00050,Sundial calculator process.
00051,A green catering for our showcase.
00052,Everyone is looking for shade in Fortaleza.
00053,Shaded and way cooler.
00054,Testing exhibition works in the hotel room.
